Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cell Cycle Process (GO:0010564)	9.989158e-10	1.439347e-07	0	0	1.108071e+01	2.296404e+02	CDCA2;SPAG5;PLK1;HMGA2;KIF11;MKI67;CDC25C;CHEK1;NEK2;KIF2C;FSD1;ECT2;BUB1
GO_Biological_Process_2023	Metaphase Plate Congression (GO:0051310)	2.720388e-09	3.593179e-07	0	0	2.082181e+01	4.106580e+02	CENPE;CCNB1;CENPF;KIF14;CDCA8;KIF2C;FAM83D;CEP55;NDC80
GO_Biological_Process_2023	Centromere Complex Assembly (GO:0034508)	3.438883e-09	4.192792e-07	0	0	7.236406e+01	1.410239e+03	CENPE;CENPF;CENPI;HJURP;OIP5;DLGAP5
GO_Biological_Process_2023	Regulation Of Chromosome Segregation (GO:0051983)	6.990067e-09	7.913755e-07	0	0	3.563102e+01	6.691069e+02	RMI2;CDCA2;NCAPG;KIF2C;CDC6;MKI67;BUB1
GO_Biological_Process_2023	DNA Metabolic Process (GO:0006259)	8.904825e-09	8.846524e-07	0	0	6.330611e+00	1.173485e+02	TOP2A;POLQ;RMI2;XRCC2;DONSON;HMGB3;MCM10;RECQL4;NEIL3;ORC6;EXO1;UBE2T;POLE2;CHEK1;CDK1;MCM4;DNA2
GO_Biological_Process_2023	Mitotic Cytokinesis (GO:0000281)	8.930245e-09	8.846524e-07	0	0	1.784383e+01	3.307143e+02	ANLN;KIF4A;PLK1;BIRC5;CDCA8;KIF23;ECT2;CENPA;CEP55
GO_Biological_Process_2023	Cytoskeleton-Dependent Cytokinesis (GO:0061640)	3.770887e-08	3.515798e-06	0	0	1.481537e+01	2.532446e+02	ANLN;KIF4A;PLK1;BIRC5;CDCA8;KIF23;ECT2;CENPA;CEP55
GO_Biological_Process_2023	DNA-templated DNA Replication (GO:0006261)	4.296988e-08	3.783737e-06	0	0	1.456805e+01	2.471144e+02	RECQL4;GINS1;GINS2;ORC6;POLG2;POLE2;MCM4;MCM10;DNA2
GO_Biological_Process_2023	Mitotic Metaphase Plate Congression (GO:0007080)	4.724527e-08	3.941251e-06	0	0	1.845892e+01	3.113635e+02	CENPE;CCNB1;NUF2;KIF14;CDCA8;KIF2C;CEP55;NDC80
GO_Biological_Process_2023	Protein Localization To Kinetochore (GO:0034501)	5.244057e-08	4.155915e-06	0	0	8.019621e+01	1.344376e+03	MTBP;CDK1;KNTC1;TTK;KNL1
GO_Biological_Process_2023	DNA Repair (GO:0006281)	5.947400e-08	4.488871e-06	0	0	5.897152e+00	9.811520e+01	FANCI;POLQ;RMI2;XRCC2;HMGA2;RECQL4;DEPDC1B;NEIL3;EME1;EXO1;UBE2T;POLE2;CHEK1;CDK1;DNA2;TRIP13
GO_Biological_Process_2023	G2/M Transition Of Mitotic Cell Cycle (GO:0000086)	1.204377e-07	8.676989e-06	0	0	2.183116e+01	3.478169e+02	CCNA2;CCNB1;MELK;PLK1;CDK1;FOXM1;CDC25C
GO_Biological_Process_2023	Cell Cycle G2/M Phase Transition (GO:0044839)	1.747619e-07	1.163667e-05	0	0	2.050693e+01	3.190846e+02	CCNA2;CCNB1;MELK;PLK1;CDK1;FOXM1;CDC25C
GO_Biological_Process_2023	Nervous System Development (GO:0007399)	1.762019e-07	1.163667e-05	0	0	4.557299e+00	7.087345e+01	RBFOX1;STIL;MARCKSL1;DLX6;SLC2A1;SOX14;POU3F2;KLK6;DMBX1;ZIC2;GDNF;DPYSL5;SCN8A;LHX1;KCNQ2;SPOCK1;IGF2BP3;ECT2;EPHB1
GO_Biological_Process_2023	Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990)	2.984353e-07	1.846665e-05	0	0	1.134641e+01	1.704766e+02	ANLN;CENPE;CENPF;CDKN2A;UBE2C;PLK1;KIF14;KNTC1;CDC6
GO_Biological_Process_2023	Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	3.029230e-07	1.846665e-05	0	0	1.409086e+01	2.115008e+02	CDC20;CCNB1;STIL;RRM2;UBE2C;CDK1;CDC25C;DLGAP5
GO_Biological_Process_2023	Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970)	3.293580e-07	1.864402e-05	0	0	4.811243e+01	7.181320e+02	CDC20;UBE2C;CDCA8;BIRC5;DLGAP5
GO_Biological_Process_2023	Protein Localization To Chromosome, Centromeric Region (GO:0071459)	3.293580e-07	1.864402e-05	0	0	4.811243e+01	7.181320e+02	MTBP;CDK1;TTK;KNL1;CENPA
GO_Biological_Process_2023	Nuclear Chromosome Segregation (GO:0098813)	4.749728e-07	2.595972e-05	0	0	4.373737e+01	6.368165e+02	TOP2A;CENPF;KIF2C;FAM83D;NDC80
GO_Biological_Process_2023	Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)	6.671298e-07	3.524669e-05	0	0	4.009149e+01	5.701123e+02	CCNB1;CDCA8;BIRC5;NDC80;MAD2L1
GO_Biological_Process_2023	Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)	7.429228e-07	3.798492e-05	0	0	1.610860e+01	2.273354e+02	CDC20;CENPE;CCNB1;UBE2C;PLK1;CDC6;DLGAP5
GO_Biological_Process_2023	DNA Replication (GO:0006260)	9.603599e-07	4.756783e-05	0	0	1.191975e+01	1.651596e+02	RECQL4;POLG2;POLE2;CHEK1;DONSON;CDK1;MCM4;DNA2
GO_Biological_Process_2023	Kinetochore Assembly (GO:0051382)	1.401576e-06	6.533816e-05	0	0	7.678734e+01	1.034933e+03	CENPE;CENPF;KNTC1;DLGAP5
GO_Biological_Process_2023	Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988)	1.401576e-06	6.533816e-05	0	0	7.678734e+01	1.034933e+03	CCNB1;SPAG5;NEK2;ECT2
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	1.642645e-06	7.438837e-05	0	0	3.364532e+00	4.481288e+01	TOP2A;TFAP2A;STIL;EGLN3;STYK1;PLK1;FHL2;KIF14;IL31RA;HMGA2;LRP8;GREM1;BCL2L10;MELK;GDNF;PAX7;CDK1;BIRC5;PMAIP1;PRAME;TNFRSF25;ECT2;MAD2L1
GO_Biological_Process_2023	Regulation Of Cytokinesis (GO:0032465)	1.765389e-06	7.772614e-05	0	0	1.091065e+01	1.445349e+02	PLK1;KIF14;KIF23;FSD1;CDC6;ECT2;E2F7;E2F8
GO_Biological_Process_2023	Kinetochore Organization (GO:0051383)	2.316739e-06	9.180078e-05	0	0	6.398769e+01	8.302626e+02	CENPE;CENPF;NUF2;DLGAP5
GO_Biological_Process_2023	Mitotic Spindle Elongation (GO:0000022)	2.316739e-06	9.180078e-05	0	0	6.398769e+01	8.302626e+02	KIF4A;BIRC5;CDCA8;KIF23
GO_Biological_Process_2023	Mitotic Spindle Midzone Assembly (GO:0051256)	2.316739e-06	9.180078e-05	0	0	6.398769e+01	8.302626e+02	KIF4A;BIRC5;CDCA8;KIF23
GO_Biological_Process_2023	Protein Localization To Condensed Chromosome (GO:1903083)	2.316739e-06	9.180078e-05	0	0	6.398769e+01	8.302626e+02	MTBP;CDK1;TTK;KNL1
GO_Biological_Process_2023	Mitotic Cell Cycle Phase Transition (GO:0044772)	2.420033e-06	9.355494e-05	0	0	8.644517e+00	1.117886e+02	CCNA2;CCNB2;CCNB1;MELK;UBE2C;PLK1;CDK1;CDC25C;FOXM1
GO_Biological_Process_2023	Negative Regulation Of Programmed Cell Death (GO:0043069)	2.885071e-06	1.088771e-04	0	0	4.326045e+00	5.518286e+01	TFAP2A;STIL;PLK1;IL31RA;KIF14;FHL2;HMGA2;SLC7A11;GREM1;BCL2L10;GDNF;PAX7;CDK1;BIRC5;PRAME;MAD2L1
GO_Biological_Process_2023	Positive Regulation Of Cytokinesis (GO:0032467)	2.998649e-06	1.105316e-04	0	0	1.753075e+01	2.229446e+02	KIF14;CDCA8;BIRC5;KIF23;CDC6;ECT2
GO_Biological_Process_2023	Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090267)	3.610641e-06	1.271748e-04	0	0	5.484508e+01	6.872980e+02	BIRC5;CDCA8;NDC80;MAD2L1
GO_Biological_Process_2023	Positive Regulation Of Spindle Checkpoint (GO:0090232)	3.610641e-06	1.271748e-04	0	0	5.484508e+01	6.872980e+02	BIRC5;CDCA8;NDC80;MAD2L1
GO_Biological_Process_2023	Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315)	5.371420e-06	1.850804e-04	0	0	4.798813e+01	5.823080e+02	CENPE;NUF2;KIF2C;NDC80
GO_Biological_Process_2023	Mitotic Spindle Assembly (GO:0090307)	6.209378e-06	2.094014e-04	0	0	1.522197e+01	1.825031e+02	TPX2;KIF4A;CDCA8;BIRC5;KIF23;KIF11
GO_Biological_Process_2023	Regulation Of Mitotic Cell Cycle (GO:0007346)	6.949921e-06	2.294922e-04	0	0	7.523580e+00	8.935591e+01	CDC20;CCNB1;CDCA2;PLK1;NEK2;MKI67;CDC25C;DLGAP5;MAD2L1
GO_Biological_Process_2023	Mitotic G2/M Transition Checkpoint (GO:0044818)	7.102096e-06	2.297311e-04	0	0	1.483126e+01	1.758264e+02	DEPDC1B;CHEK1;PLK1;DONSON;CDK1;CDC6
GO_Biological_Process_2023	Kidney Development (GO:0001822)	8.594903e-06	2.724584e-04	0	0	1.073286e+01	1.251917e+02	TFAP2A;HELLS;CENPF;SALL1;GDNF;LHX1;SULF1
GO_Biological_Process_2023	Negative Regulation Of Double-Strand Break Repair (GO:2000780)	9.642440e-06	2.996719e-04	0	0	2.091097e+01	2.415079e+02	POLQ;RMI2;PARPBP;TWIST1;HMGA2
GO_Biological_Process_2023	Establishment Of Chromosome Localization (GO:0051303)	1.068434e-05	3.256669e-04	0	0	3.838839e+01	4.394216e+02	CENPF;KIF2C;FAM83D;NDC80
GO_Biological_Process_2023	Centromeric Sister Chromatid Cohesion (GO:0070601)	1.104328e-05	3.302566e-04	0	0	1.436092e+02	1.639111e+03	SGO1;BUB1B;BUB1
GO_Biological_Process_2023	Establishment Of Mitotic Spindle Orientation (GO:0000132)	1.155199e-05	3.390723e-04	0	0	2.003913e+01	2.278179e+02	SAPCD2;PLK1;CENPA;NDC80;MAD2L1
GO_Biological_Process_2023	Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)	1.374428e-05	3.960852e-04	0	0	1.923704e+01	2.153565e+02	DEPDC1B;CHEK1;PLK1;DONSON;CDK1
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	1.499569e-05	4.233194e-04	0	0	2.997329e+00	3.329358e+01	TFAP2A;CGREF1;EGLN3;CDKN2A;UHRF1;KIF14;CDCA7;IL31RA;TTK;CDC6;FOXM1;POU3F2;PTHLH;TSHR;GREM1;GDNF;SAPCD2;BIRC5;PRAME;E2F7;EZH2;KCNH1
GO_Biological_Process_2023	Positive Regulation Of Cellular Process (GO:0048522)	1.522347e-05	4.233194e-04	0	0	3.303125e+00	3.664048e+01	DLX1;SPAG5;TNFRSF18;KIF14;IL31RA;TWIST1;TTK;FOXM1;POU3F2;PTHLH;TSHR;GREM1;FRMD5;GDNF;SAPCD2;CHEK1;BIRC5;PRAME;EZH2
GO_Biological_Process_2023	Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029)	1.669515e-05	4.562381e-04	0	0	1.257191e+01	1.382959e+02	CCNA2;CCNB2;CCNB1;CDKN2A;CDC6;CDC25C
GO_Biological_Process_2023	Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)	1.763815e-05	4.738384e-04	0	0	9.521426e+00	1.042163e+02	CCNA2;CCNB2;CCNB1;CDKN2A;PLK1;CDC6;CDC25C
GO_Biological_Process_2023	Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051438)	1.909269e-05	5.043652e-04	0	0	1.781109e+01	1.935390e+02	CDC20;PLK1;BUB1B;MAGEC2;MAD2L1
GO_Biological_Process_2023	Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900)	2.095390e-05	5.444579e-04	0	0	7.588183e+00	8.174890e+01	CCNA2;CCNB2;CCNB1;CDKN2A;HMGA2;CDC6;CDC25C;EZH2
GO_Biological_Process_2023	CENP-A Containing Chromatin Assembly (GO:0034080)	2.191566e-05	5.513703e-04	0	0	9.573684e+01	1.027094e+03	CENPI;HJURP;OIP5
GO_Biological_Process_2023	Chromatin Remodeling At Centromere (GO:0031055)	2.191566e-05	5.513703e-04	0	0	9.573684e+01	1.027094e+03	CENPI;HJURP;OIP5
GO_Biological_Process_2023	Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666)	2.478239e-05	6.135250e-04	0	0	2.952710e+01	3.131460e+02	CDC20;UBE2C;PLK1;MAD2L1
GO_Biological_Process_2023	Regulation Of Mitotic Nuclear Division (GO:0007088)	2.570943e-05	6.135250e-04	0	0	1.156488e+01	1.222252e+02	CCNB1;CDCA2;CHEK1;NEK2;MKI67;CDC25C
GO_Biological_Process_2023	Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	2.570943e-05	6.135250e-04	0	0	1.156488e+01	1.222252e+02	DEPDC1B;EME1;CHEK1;PLK1;DONSON;CDK1
GO_Biological_Process_2023	Establishment Of Mitotic Spindle Localization (GO:0040001)	2.593449e-05	6.135250e-04	0	0	1.658183e+01	1.751031e+02	SAPCD2;PLK1;CENPA;NDC80;MAD2L1
GO_Biological_Process_2023	Renal System Development (GO:0072001)	2.848365e-05	6.639203e-04	0	0	1.133781e+01	1.186635e+02	TFAP2A;HELLS;CENPF;SALL1;LHX1;SULF1
GO_Biological_Process_2023	Establishment Of Spindle Orientation (GO:0051294)	2.999942e-05	6.792725e-04	0	0	1.602866e+01	1.669278e+02	SAPCD2;PLK1;CENPA;NDC80;MAD2L1
GO_Biological_Process_2023	Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389)	2.999942e-05	6.792725e-04	0	0	1.602866e+01	1.669278e+02	CCNB1;CENPF;KIF14;CDK1;CDC25C
GO_Biological_Process_2023	Positive Regulation Of Chromosome Segregation (GO:0051984)	3.160147e-05	7.054694e-04	0	0	2.741726e+01	2.841061e+02	CCNB1;CDK1;NCAPG;CDC6
GO_Biological_Process_2023	Regulation Of Nuclear Division (GO:0051783)	3.969999e-05	8.739511e-04	0	0	2.558874e+01	2.593204e+02	CDCA2;NEK2;CDC25C;MKI67
GO_Biological_Process_2023	DNA Damage Response (GO:0006974)	4.620145e-05	1.003141e-03	0	0	3.785840e+00	3.779215e+01	TOP2A;POLQ;RMI2;XRCC2;MCM10;RECQL4;DEPDC1B;BCL2L10;AIM2;EXO1;UBE2T;POLE2;CHEK1;CDK1
GO_Biological_Process_2023	DNA Unwinding Involved In DNA Replication (GO:0006268)	4.921781e-05	1.054192e-03	0	0	2.398879e+01	2.379509e+02	GINS1;RECQL4;GINS2;MCM4
GO_Biological_Process_2023	Regulation Of Mitotic Centrosome Separation (GO:0046602)	6.041835e-05	1.260041e-03	0	0	5.743895e+01	5.579744e+02	CHEK1;NEK2;KIF11
GO_Biological_Process_2023	Positive Regulation Of Ubiquitin Protein Ligase Activity (GO:1904668)	6.041835e-05	1.260041e-03	0	0	5.743895e+01	5.579744e+02	CDC20;UBE2C;PLK1
GO_Biological_Process_2023	Protein Phosphorylation (GO:0006468)	8.064814e-05	1.660095e-03	0	0	3.247233e+00	3.060652e+01	PLK4;EPHA10;INSRR;MAST1;PLK1;CDCA8;TTK;MELK;ADM2;CHEK1;PBK;CDK1;BIRC5;NEK2;EPHB1;PDK1
GO_Biological_Process_2023	Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	8.305805e-05	1.687782e-03	0	0	3.392116e+00	3.187222e+01	TFAP2A;CDKN2A;TWIST1;HMGA2;SOX14;FOXM1;DMBX1;CENPF;SALL1;ZIC2;LHX1;DEPDC1;BIRC5;PRAME;EZH2
GO_Biological_Process_2023	Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)	1.153212e-04	2.313722e-03	0	0	1.172474e+01	1.063175e+02	HELLS;UHRF1;CHEK1;HMGA2;EZH2
GO_Biological_Process_2023	Regulation Of Mitotic Sister Chromatid Separation (GO:0010965)	1.274746e-04	2.486164e-03	0	0	4.102556e+01	3.679006e+02	CCNB1;BIRC5;CDCA8
GO_Biological_Process_2023	Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051987)	1.274746e-04	2.486164e-03	0	0	4.102556e+01	3.679006e+02	CCNB1;BIRC5;CDCA8
GO_Biological_Process_2023	Positive Regulation Of Transferase Activity (GO:0051347)	1.286217e-04	2.486164e-03	0	0	5.770985e+00	5.170015e+01	GREM1;GINS1;GINS2;POLG2;PLK1;INSRR;NEK2;MAGEC2
GO_Biological_Process_2023	Positive Regulation Of Protein Kinase Activity (GO:0045860)	1.486227e-04	2.838156e-03	0	0	5.644146e+00	4.974807e+01	CCNA2;TPX2;CENPE;KIF14;HMGA2;ECT2;LRP8;EZH2
GO_Biological_Process_2023	Positive Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051443)	1.683028e-04	3.100984e-03	0	0	1.668464e+01	1.449853e+02	CDC20;UBE2C;PLK1;MAGEC2
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	1.726921e-04	3.100984e-03	0	0	3.162269e+00	2.739790e+01	TFAP2A;STIL;PLK1;FHL2;KIF14;IL31RA;HMGA2;GREM1;BCL2L10;GDNF;PAX7;CDK1;BIRC5;PRAME;MAD2L1
GO_Biological_Process_2023	Positive Regulation Of Cell Population Proliferation (GO:0008284)	1.726921e-04	3.100984e-03	0	0	3.162269e+00	2.739790e+01	KIF14;IL31RA;HMGA2;TTK;FOXM1;POU3F2;PTHLH;TSHR;CCNA2;GREM1;GDNF;SAPCD2;BIRC5;PRAME;EZH2
GO_Biological_Process_2023	Positive Regulation Of Metaphase/Anaphase Transition Of Cell Cycle (GO:1902101)	1.739240e-04	3.100984e-03	0	0	3.589638e+01	3.107511e+02	CDC20;UBE2C;DLGAP5
GO_Biological_Process_2023	Positive Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045842)	1.739240e-04	3.100984e-03	0	0	3.589638e+01	3.107511e+02	CDC20;UBE2C;DLGAP5
GO_Biological_Process_2023	Negative Regulation Of DNA-templated Transcription (GO:0045892)	1.741247e-04	3.100984e-03	0	0	2.404987e+00	2.081694e+01	TFAP2A;DLX1;CDKN2A;UHRF1;PLK1;FHL2;TWIST1;HMGA2;SOX14;FOXM1;DMBX1;CENPF;SALL1;ZIC2;LHX1;DEPDC1;DNMT3B;BIRC5;MAGEC1;PRAME;MAGEC2;E2F7;EZH2;E2F8
GO_Biological_Process_2023	Protein Modification Process (GO:0036211)	1.761269e-04	3.101790e-03	0	0	2.720229e+00	2.351450e+01	PLK4;EGLN3;EPHA10;MAST1;PLK1;CDCA8;PTPRH;FUT2;CCNA2;COL3A1;MELK;FUT9;ADM2;CHEK1;CDK1;BIRC5;NEK2;EPHB1;PDK1
GO_Biological_Process_2023	Protein Depolymerization (GO:0051261)	1.947464e-04	3.392011e-03	0	0	1.598901e+01	1.366071e+02	VIL1;KIF18B;KIF14;KIF2C
GO_Biological_Process_2023	Positive Regulation Of DNA-directed DNA Polymerase Activity (GO:1900264)	2.301087e-04	3.921745e-03	0	0	3.190702e+01	2.672838e+02	GINS1;GINS2;POLG2
GO_Biological_Process_2023	Regulation Of DNA-directed DNA Polymerase Activity (GO:1900262)	2.301087e-04	3.921745e-03	0	0	3.190702e+01	2.672838e+02	GINS1;GINS2;POLG2
GO_Biological_Process_2023	Heterochromatin Formation (GO:0031507)	2.564138e-04	4.323573e-03	0	0	1.475827e+01	1.220320e+02	FAM172BP;UHRF1;HMGA2;EZH2
GO_Biological_Process_2023	Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087)	2.919942e-04	4.871693e-03	0	0	1.421128e+01	1.156624e+02	MTBP;STIL;RRM2;CDC6
GO_Biological_Process_2023	Positive Regulation Of Chromosome Separation (GO:1905820)	2.968333e-04	4.900842e-03	0	0	2.871553e+01	2.332373e+02	CDCA8;NCAPG;BIRC5
GO_Biological_Process_2023	Regulation Of Metaphase/Anaphase Transition Of Cell Cycle (GO:1902099)	3.309804e-04	5.408287e-03	0	0	1.370335e+01	1.098112e+02	CENPE;UBE2C;PLK1;CDC6
GO_Biological_Process_2023	Double-Strand Break Repair (GO:0006302)	3.434926e-04	5.555467e-03	0	0	4.954120e+00	3.951577e+01	RECQL4;POLQ;DEPDC1B;RMI2;EME1;XRCC2;DNA2;TRIP13
GO_Biological_Process_2023	Embryonic Cranial Skeleton Morphogenesis (GO:0048701)	3.748745e-04	5.941761e-03	0	0	2.610431e+01	2.059348e+02	TFAP2A;LHX1;TWIST1
GO_Biological_Process_2023	Regulation Of Bone Remodeling (GO:0046850)	3.748745e-04	5.941761e-03	0	0	2.610431e+01	2.059348e+02	GREM1;LEP;SYT7
GO_Biological_Process_2023	Negative Regulation Of Cell Cycle Process (GO:0010948)	4.199056e-04	6.589607e-03	0	0	1.278909e+01	9.944135e+01	CHEK1;NEK2;E2F7;E2F8
GO_Biological_Process_2023	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	5.223819e-04	8.073897e-03	0	0	1.883175e+00	1.423136e+01	DLX1;ONECUT2;UHRF1;DLX6;ONECUT1;FHL2;HMGB3;TWIST1;FOXM1;BARX1;DMBX1;SALL1;ZIC2;SALL3;SALL4;DNMT3B;NKX1-2;MYBL2;MAGEC1;MAGEC2;E2F7;E2F8;TFAP2A;PLK1;HMGA2;SOX14;ETV4;POU3F2;CCNA2;GREM1;HOXB9;GDNF;PAX7;LHX2;LHX1;SP8;EZH2
GO_Biological_Process_2023	Base-Excision Repair (GO:0006284)	5.246760e-04	8.073897e-03	0	0	1.198912e+01	9.055055e+01	POLQ;NEIL3;HMGA2;DNA2
GO_Biological_Process_2023	Negative Regulation Of Transferase Activity (GO:0051348)	5.834735e-04	8.892360e-03	0	0	1.162549e+01	8.656934e+01	CDC20;PIF1;BUB1B;MAD2L1
GO_Biological_Process_2023	Positive Regulation Of DNA Biosynthetic Process (GO:2000573)	5.912300e-04	8.924758e-03	0	0	8.007716e+00	5.952380e+01	GREM1;GINS1;GINS2;POLG2;NEK2
GO_Biological_Process_2023	Phosphorylation (GO:0016310)	5.980036e-04	8.941847e-03	0	0	3.060075e+00	2.271161e+01	PLK4;EPHA10;MAST1;PLK1;CDCA8;MELK;ADM2;CHEK1;CDK1;BIRC5;NEK2;EPHB1;PDK1
GO_Biological_Process_2023	Microtubule Depolymerization (GO:0007019)	6.842536e-04	9.949926e-03	0	0	2.050883e+01	1.494516e+02	KIF18B;KIF14;KIF2C
GO_Biological_Process_2023	Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:2000042)	6.842536e-04	9.949926e-03	0	0	2.050883e+01	1.494516e+02	POLQ;RMI2;PARPBP
GO_Biological_Process_2023	Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444)	6.842536e-04	9.949926e-03	0	0	2.050883e+01	1.494516e+02	CDC20;BUB1B;MAD2L1
GO_Biological_Process_2023	Regulation Of Mitotic Spindle Organization (GO:0060236)	7.148426e-04	1.030023e-02	0	0	1.096057e+01	7.939234e+01	TPX2;STIL;PLK1;FSD1
GO_Biological_Process_2023	Cellular Response To Calcium Ion (GO:0071277)	7.776100e-04	1.110371e-02	0	0	7.506407e+00	5.374051e+01	CPNE7;ITPKA;ECT2;SYT7;KCNH1
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle G1/S Phase Transition (GO:1902808)	7.877961e-04	1.114872e-02	0	0	1.065582e+01	7.614938e+01	STIL;RRM2;FAM83D;EZH2
GO_Biological_Process_2023	DNA Duplex Unwinding (GO:0032508)	8.658508e-04	1.203836e-02	0	0	1.036754e+01	7.310979e+01	RECQL4;GINS1;GINS2;MCM4
GO_Biological_Process_2023	DNA Integrity Checkpoint Signaling (GO:0031570)	8.658508e-04	1.203836e-02	0	0	1.036754e+01	7.310979e+01	CHEK1;DONSON;CDC6;DNA2
GO_Biological_Process_2023	DNA Recombination (GO:0006310)	9.491987e-04	1.308243e-02	0	0	1.009443e+01	7.025616e+01	RMI2;EXO1;XRCC2;HMGB3
GO_Biological_Process_2023	Axon Guidance (GO:0007411)	9.592764e-04	1.310735e-02	0	0	4.785235e+00	3.325418e+01	EPHA10;GDNF;DPYSL5;TUBB3;LHX1;EPHB1;IGSF9
GO_Biological_Process_2023	Extracellular Structure Organization (GO:0043062)	1.010519e-03	1.366062e-02	0	0	5.605830e+00	3.866505e+01	MMP11;ADAMTS14;COL3A1;COL11A1;COL22A1;COL10A1
